Run,Keyword,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,cell_type,donor_id,cell_line,supplemented_with,disease_state,tissue,celltype,clone_id
SRR7652143,,RNA-Seq,152,390222760,PRJNA484873,SAMN09771358,162122488,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4514618,GSM3320609,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320609,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652144,,RNA-Seq,152,66341008,PRJNA484873,SAMN09771362,27457279,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX4514619,GSM3320610,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320610,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652145,,RNA-Seq,152,54442144,PRJNA484873,SAMN09771356,22651563,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4514620,GSM3320611,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320611,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652146,,RNA-Seq,152,450701432,PRJNA484873,SAMN09771352,186367251,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX4514621,GSM3320612,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320612,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652147,,RNA-Seq,152,387946104,PRJNA484873,SAMN09771349,160809174,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4514622,GSM3320613,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320613,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652148,,RNA-Seq,152,367237776,PRJNA484873,SAMN09771096,152368187,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4514623,GSM3320614,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320614,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652149,,RNA-Seq,152,422579608,PRJNA484873,SAMN09771091,174741512,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4514624,GSM3320615,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320615,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652150,,RNA-Seq,152,536678104,PRJNA484873,SAMN09771138,221225395,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4514625,GSM3320616,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320616,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652151,,RNA-Seq,152,480797128,PRJNA484873,SAMN09771137,198080719,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4514626,GSM3320617,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320617,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652152,,RNA-Seq,152,51874560,PRJNA484873,SAMN09771133,21543253,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4514627,GSM3320618,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320618,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652153,,RNA-Seq,152,36978712,PRJNA484873,SAMN09771081,15387362,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4514628,GSM3320619,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320619,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652154,,RNA-Seq,152,53554920,PRJNA484873,SAMN09771078,22163360,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX4514629,GSM3320620,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320620,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652155,,RNA-Seq,152,61413016,PRJNA484873,SAMN09771076,25500298,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4514630,GSM3320621,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320621,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652156,,RNA-Seq,152,81516688,PRJNA484873,SAMN09771075,33620149,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX4514631,GSM3320622,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320622,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652157,,RNA-Seq,152,64744704,PRJNA484873,SAMN09770849,26864423,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4514632,GSM3320623,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320623,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652158,,RNA-Seq,152,578229280,PRJNA484873,SAMN09770847,238390519,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4514633,GSM3320624,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320624,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652159,,RNA-Seq,152,69365960,PRJNA484873,SAMN09770846,28780428,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4514634,GSM3320625,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320625,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652160,,RNA-Seq,152,61664880,PRJNA484873,SAMN09770845,25652709,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4514635,GSM3320626,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320626,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652161,,RNA-Seq,152,56545824,PRJNA484873,SAMN09770844,23535364,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4514636,GSM3320627,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320627,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652162,,RNA-Seq,152,485239480,PRJNA484873,SAMN09770843,199629196,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4514637,GSM3320628,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320628,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652163,,RNA-Seq,152,313604120,PRJNA484873,SAMN09770842,128549432,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX4514638,GSM3320629,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320629,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652164,,RNA-Seq,152,304225872,PRJNA484873,SAMN09770841,126329031,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4514639,GSM3320630,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320630,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652165,,RNA-Seq,152,151512992,PRJNA484873,SAMN09770840,61975197,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4514640,GSM3320631,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320631,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652166,,RNA-Seq,152,427430536,PRJNA484873,SAMN09770839,178284157,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4514641,GSM3320632,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320632,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652167,,RNA-Seq,152,243935528,PRJNA484873,SAMN09770838,100181310,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4514642,GSM3320633,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320633,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652168,,RNA-Seq,152,54151368,PRJNA484873,SAMN09770837,22555796,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX4514643,GSM3320634,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320634,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652169,,RNA-Seq,152,53266120,PRJNA484873,SAMN09770836,22461910,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4514644,GSM3320635,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320635,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652170,,RNA-Seq,152,344528216,PRJNA484873,SAMN09770835,144306384,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4514645,GSM3320636,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320636,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652171,,RNA-Seq,152,63299792,PRJNA484873,SAMN09770834,26352035,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4514646,GSM3320637,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320637,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652172,,RNA-Seq,152,54535776,PRJNA484873,SAMN09770833,22716682,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX4514647,GSM3320638,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320638,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652173,,RNA-Seq,152,356495480,PRJNA484873,SAMN09770832,148473282,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX4514648,GSM3320639,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320639,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652174,,RNA-Seq,152,56169624,PRJNA484873,SAMN09770831,23390386,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4514649,GSM3320640,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320640,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652175,,RNA-Seq,152,331915560,PRJNA484873,SAMN09770830,136970059,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4514650,GSM3320641,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320641,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652176,,RNA-Seq,152,65983960,PRJNA484873,SAMN09770829,27339411,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4514651,GSM3320642,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320642,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652177,,RNA-Seq,152,58826736,PRJNA484873,SAMN09770828,24382484,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX4514652,GSM3320643,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320643,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652178,,RNA-Seq,152,77083912,PRJNA484873,SAMN09770827,31859365,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX4514653,GSM3320644,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320644,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652179,,RNA-Seq,152,413044648,PRJNA484873,SAMN09770826,169684672,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4514654,GSM3320645,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320645,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652180,,RNA-Seq,152,68460952,PRJNA484873,SAMN09770825,28372614,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX4514655,GSM3320646,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320646,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652181,,RNA-Seq,152,62957488,PRJNA484873,SAMN09770824,26137920,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4514656,GSM3320647,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320647,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652182,,RNA-Seq,152,381902736,PRJNA484873,SAMN09771114,158856754,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4514657,GSM3320648,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320648,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652183,,RNA-Seq,152,422747264,PRJNA484873,SAMN09771113,175251708,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4514658,GSM3320649,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320649,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652184,,RNA-Seq,152,477392480,PRJNA484873,SAMN09771112,197914656,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4514659,GSM3320650,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320650,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652185,,RNA-Seq,152,360101528,PRJNA484873,SAMN09771111,149438121,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4514660,GSM3320651,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320651,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652186,,RNA-Seq,152,334190848,PRJNA484873,SAMN09771110,138406016,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4514661,GSM3320652,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320652,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652187,,RNA-Seq,152,62901552,PRJNA484873,SAMN09771109,26110918,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4514662,GSM3320653,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320653,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652188,,RNA-Seq,152,56482592,PRJNA484873,SAMN09771108,23474330,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4514663,GSM3320654,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320654,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652189,,RNA-Seq,152,60629000,PRJNA484873,SAMN09771107,25077188,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX4514664,GSM3320655,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320655,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652190,,RNA-Seq,152,411331456,PRJNA484873,SAMN09771106,169087411,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4514665,GSM3320656,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320656,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652191,,RNA-Seq,152,60092896,PRJNA484873,SAMN09771105,24844290,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4514666,GSM3320657,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320657,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652192,,RNA-Seq,152,50616608,PRJNA484873,SAMN09771104,21085377,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX4514667,GSM3320658,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320658,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652193,,RNA-Seq,152,58352192,PRJNA484873,SAMN09771103,24193177,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX4514668,GSM3320659,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320659,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652194,,RNA-Seq,152,42543888,PRJNA484873,SAMN09771102,17686751,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX4514669,GSM3320660,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320660,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652195,,RNA-Seq,152,209070528,PRJNA484873,SAMN09771101,94056150,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX4514670,GSM3320661,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320661,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652196,,RNA-Seq,152,75192576,PRJNA484873,SAMN09771100,31082325,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4514671,GSM3320662,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320662,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652197,,RNA-Seq,152,35926416,PRJNA484873,SAMN09771099,14993769,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX4514672,GSM3320663,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320663,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
SRR7652198,,RNA-Seq,152,64958112,PRJNA484873,SAMN09771097,26948246,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4514673,GSM3320664,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-28T00:00:00Z,GSM3320664,ATCC,SRP156532,,,TF1 hematopoietic cell line,,,,,
