SRRfile	#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
SRR7245931_sorted.bam	chrM	1	16569	15240813	16569	100	33133.6	34.9	36.7
SRR7245932_sorted.bam	chrM	1	16569	16455690	16569	100	35828.4	35	36.8
SRR7245933_sorted.bam	chrM	1	16569	13518421	16569	100	29400.6	34.9	36.8
SRR7245934_sorted.bam	chrM	1	16569	15998708	16569	100	34730.8	34.9	36.8
SRR7245935_sorted.bam	chrM	1	16569	14032704	16569	100	30525.9	34.9	36.8
SRR7245936_sorted.bam	chrM	1	16569	15593890	16569	100	33855.3	34.9	36.8
SRR7245937_sorted.bam	chrM	1	16569	15029497	16569	100	32637.9	34.9	36.8
SRR7245938_sorted.bam	chrM	1	16569	12986859	16569	100	28200.3	34.9	36.8
SRR7245939_sorted.bam	chrM	1	16569	10851428	16569	100	23580.1	34.9	36.8
SRR7245940_sorted.bam	chrM	1	16569	12179523	16569	100	26462.1	34.9	36.8
SRR7245941_sorted.bam	chrM	1	16569	6411346	16569	100	14006.9	35	36.7
SRR7245942_sorted.bam	chrM	1	16569	6769709	16569	100	14788.9	35	36.7
SRR7245943_sorted.bam	chrM	1	16569	7968310	16569	100	17432.3	35	36.7
SRR7245944_sorted.bam	chrM	1	16569	5362369	16569	100	11644.2	34.9	36.8
SRR7245945_sorted.bam	chrM	1	16569	4641870	16569	100	10120.1	35	36.8
SRR7245946_sorted.bam	chrM	1	16569	5715525	16569	100	12492.3	35	36.8
SRR7245947_sorted.bam	chrM	1	16569	10934312	16569	100	23768.8	34.9	36.8
SRR7245948_sorted.bam	chrM	1	16569	9684792	16569	100	21074.9	35	36.7
